Sample Number for Dilithium2,Number of Domains Added,Number of Fragments,Total Time to Fill Database (ms),Total Time for One Entry (ms),Key Generation (ms),Message Signing (ms),Message Verifying (ms),Time for Hash Step (ms),Time for Redis Step (ms),Public Key Length (B),Private Key Length (B),Avg Signature Length (B),
1,10000,3,10893.8,0.890291,1.35251,0.340462,0.085032,0.0127821,0.53611,1312,2528,2420,
2,1000,3,1287.08,1.05082,1.41456,0.372445,0.0923785,0.0136989,0.663542,1312,2528,2420,
3,100,3,149.675,1.21167,1.3176,0.344033,0.0879252,0.0149223,0.851764,1312,2528,2420,
4,10,3,19.7139,1.43423,1.52038,0.502107,0.088297,0.0434699,0.887778,1312,2528,2420,
5,1,3,17.6208,13.7311,1.37512,7.63208,0.100821,0.278896,5.81662,1312,2528,2420,
