Sample Number for Dilithium3,Total Handshake Duration (ms),Hash Check Duration (ms),Data Check Duration (ms),Signature Check Duration (ms),
1,13.6429,8.15167,2.59405,2.64175,
2,11.3316,7.91997,2.96453,0.248765,
3,10.5474,7.41004,2.65364,0.304798,
4,10.4678,7.6288,2.32374,0.237725,
5,10.8703,7.48057,2.86935,0.303122,
6,10.3025,7.70015,2.09845,0.30973,
7,13.4207,11.3646,1.58498,0.255663,
8,11.2622,7.81425,2.9853,0.267097,
9,10.5817,7.42958,2.78049,0.179963,
10,11.2862,8.04575,2.77752,0.267621,
11,10.1312,7.59889,2.13501,0.228336,
12,10.2041,7.59035,2.17216,0.247059,
13,10.9949,7.79045,2.71951,0.271277,
14,10.0627,7.30913,2.18778,0.244722,
15,3.95332,2.20135,1.31683,0.246429,
16,7.18359,5.08176,1.84922,0.142569,
17,10.9764,7.59507,2.91988,0.267417,
18,11.7483,8.1877,3.00471,0.360672,
19,11.9536,8.16993,3.27981,0.282413,
20,10.9225,7.50422,2.96192,0.25872,
21,10.5583,7.63029,2.48133,0.252397,
22,11.0447,7.95483,2.56079,0.252661,
23,11.6231,8.09093,3.06573,0.257276,
24,7.81557,5.20946,2.3227,0.166296,
25,11.2015,7.80966,2.87413,0.29525,
26,11.6309,8.21778,2.95828,0.260102,
27,14.4752,10.6923,3.26399,0.275239,
28,11.2034,7.79836,2.95442,0.256202,
29,11.2304,8.50782,2.28092,0.246149,
30,11.7109,8.78516,2.4348,0.244981,
31,3.43721,2.49792,0.789336,0.095007,
32,9.4512,7.1214,1.94329,0.224701,
33,10.9574,7.73812,2.77199,0.242574,
34,11.0804,7.88692,2.62425,0.332824,
35,12.3467,8.63228,3.0498,0.262529,
36,10.7725,7.63169,2.69331,0.24712,
37,10.132,7.49775,2.15238,0.268666,
38,10.5412,7.26363,2.82394,0.259647,
39,10.8883,7.53993,2.90152,0.252428,
40,7.94977,6.01746,1.68742,0.145307,
41,11.1517,7.86756,2.82893,0.263902,
42,11.0905,7.54341,3.01387,0.264601,
43,10.9355,7.57741,2.91641,0.247354,
44,11.1807,7.76855,2.97905,0.244825,
45,10.8222,7.69921,2.66982,0.256402,
46,22.237,7.25939,3.04445,0.268154,
47,9.46099,6.87295,2.12641,0.285351,
48,13.7012,8.04021,5.2154,0.244332,
49,10.9285,7.80668,2.66302,0.260764,
50,10.16,7.34929,2.26661,0.309876,
51,11.6241,8.12522,3.01268,0.269379,
52,10.9697,7.6832,2.80065,0.259901,
53,11.189,7.9955,2.74832,0.249758,
54,9.76989,7.04555,2.28329,0.241808,
55,9.45515,6.94793,2.07795,0.27223,
56,12.3433,9.05998,2.84295,0.246086,
57,11.1127,7.9577,2.69432,0.264965,
58,12.6171,9.44858,2.72097,0.251739,
59,10.7423,7.61115,2.63196,0.303479,
60,11.4564,7.93419,2.7976,0.386988,
61,11.005,7.84046,2.73141,0.240668,
62,3.42415,2.33022,0.789322,0.126005,
63,9.89231,7.51062,1.98569,0.243897,
64,9.81133,7.13641,2.18795,0.256976,
65,10.4475,7.33708,2.53933,0.376728,
66,11.2677,8.08058,2.73575,0.255596,
67,11.0224,7.82777,2.75108,0.250433,
68,11.4533,8.17505,2.79915,0.254465,
69,11.2526,8.11366,2.6889,0.254076,
70,11.314,7.81125,2.92411,0.282959,
71,10.6706,7.49764,2.5938,0.359178,
72,10.0581,7.20124,2.12609,0.450336,
73,10.5901,7.58931,2.50665,0.298948,
74,11.9161,8.38425,2.84802,0.2643,
75,11.1345,7.90603,2.74195,0.291033,
76,11.1804,7.356,2.93948,0.668556,
77,10.6052,7.5089,2.6454,0.269673,
78,5.4586,4.62859,0.648684,0.104832,
79,5.94717,3.91238,1.66655,0.198878,
80,12.1475,8.81666,2.80726,0.290698,
81,11.0595,7.90875,2.71769,0.238174,
82,11.3246,7.83518,3.0228,0.266361,
83,10.8796,7.72072,2.64688,0.308523,
84,11.0047,7.84693,2.69945,0.262044,
85,9.83079,7.32444,2.06371,0.247179,
86,9.58178,6.85921,2.23539,0.257595,
87,7.58372,5.30245,1.95003,0.154281,
88,10.5728,7.51183,2.60633,0.258064,
89,11.1555,7.98654,2.70995,0.2399,
90,10.5019,7.38595,2.49548,0.271275,
91,10.8415,7.51087,2.89512,0.234639,
92,12.6574,7.79464,4.4218,0.247033,
93,2.9062,2.23162,0.526654,0.087901,
94,10.7582,7.31757,3.00016,0.246089,
95,11.1355,7.70432,2.88435,0.325706,
96,10.1343,7.4455,2.2343,0.259184,
97,13.8467,10.0415,3.28678,0.319046,
98,10.7879,7.63673,2.6572,0.276351,
99,10.61,7.38131,2.78559,0.247378,
100,10.8341,7.50589,2.74308,0.365962,
