Sample Number for secp384r1,Total Handshake Duration (ms),Hash Check Duration (ms),Data Check Duration (ms),Signature Check Duration (ms),
1,10.1941,8.62271,0.007561,1.41763,
2,9.01146,7.33031,0.007185,1.55055,
3,9.30652,7.7453,0.006792,1.44884,
4,9.67359,8.09424,0.007698,1.43977,
5,9.80211,8.07323,0.007134,1.6009,
6,9.56799,8.02102,0.00708,1.43127,
7,9.42642,7.64905,0.007006,1.65697,
8,8.90485,7.53246,0.006723,1.26162,
9,9.61738,8.05151,0.006906,1.44058,
10,9.2239,7.66607,0.006483,1.44377,
11,8.86368,7.44074,0.006275,1.31369,
12,9.93411,8.47765,0.006454,1.34418,
13,9.45772,7.80979,0.006805,1.52086,
14,10.1549,8.6857,0.006531,1.35205,
15,8.37839,7.04127,0.005937,1.23607,
16,9.79565,8.08024,0.006439,1.60275,
17,9.61224,8.12442,0.006766,1.37415,
18,9.14671,7.76574,0.006698,1.26672,
19,8.61196,7.25456,0.006662,1.24439,
20,9.59598,7.90974,0.00646,1.57264,
21,9.37588,7.97289,0.006646,1.28453,
22,9.35735,7.78324,0.006731,1.45262,
23,9.05714,7.693,0.006903,1.25506,
24,9.23698,7.70294,0.006773,1.41396,
25,9.48295,7.44872,0.006552,1.92251,
26,8.93138,7.47635,0.006588,1.3359,
27,9.60826,7.90772,0.006896,1.58253,
28,8.5436,7.16005,0.005832,1.26119,
29,9.09399,7.7115,0.006642,1.26713,
30,9.32525,7.94516,0.006443,1.26382,
31,9.15852,7.49874,0.006575,1.54254,
32,9.71086,7.75014,0.006629,1.82651,
33,10.0923,8.06667,0.006933,1.91426,
34,8.91221,7.37293,0.006461,1.4082,
35,9.9658,8.17166,0.007049,1.6595,
36,8.79692,7.35455,0.006658,1.28574,
37,8.92526,7.53857,0.006678,1.273,
38,4.24055,3.80049,0.001951,0.40029,
39,9.36476,7.9895,0.006672,1.25872,
40,9.03734,7.78344,0.005955,1.15216,
41,9.46315,8.08213,0.007004,1.25928,
42,9.13571,7.60077,0.006646,1.41326,
43,9.71915,8.25326,0.006754,1.31234,
44,9.50595,7.70654,0.006711,1.67797,
45,9.55901,8.12313,0.006564,1.31416,
46,10.0351,8.64199,0.006418,1.27532,
47,10.5091,8.93365,0.007555,1.4464,
48,7.73916,6.29816,0.006208,1.33645,
49,9.033,7.53287,0.006594,1.38006,
50,9.16665,7.7609,0.006385,1.29283,
51,9.73557,7.90023,0.054562,1.36234,
52,9.60893,8.09539,0.007206,1.38679,
53,9.5942,7.93119,0.006167,1.54273,
54,10.0364,8.51184,0.006951,1.38637,
55,9.68535,8.05466,0.006993,1.51187,
56,9.94588,8.32327,0.006724,1.50637,
57,9.62869,8.16456,0.006633,1.34362,
58,9.12979,7.24648,0.006679,1.76102,
59,8.95625,7.52999,0.007525,1.29475,
60,9.05044,7.47121,0.006542,1.46544,
61,10.5242,9.57357,0.0049,0.861646,
62,8.56184,7.22743,0.006247,1.22799,
63,7.55162,6.21402,0.006358,1.18391,
64,8.9712,7.50693,0.007393,1.33519,
65,9.65066,8.0408,0.006344,1.49706,
66,10.094,7.56624,0.006444,2.37214,
67,9.60497,8.18244,0.006738,1.30639,
68,8.92143,7.41363,0.006747,1.39166,
69,9.22521,7.70823,0.006624,1.39917,
70,8.70769,7.10807,0.007874,1.47609,
71,9.13029,7.2959,0.006692,1.7128,
72,9.3822,7.52874,0.007083,1.61866,
73,8.86693,7.53867,0.006526,1.21358,
74,9.3952,7.34071,0.007113,1.92495,
75,9.82981,7.94859,0.006652,1.76641,
76,8.49753,7.10818,0.006692,1.27242,
77,9.05298,7.36183,0.006574,1.57599,
78,8.8504,7.45677,0.006725,1.27119,
79,8.84211,7.45749,0.006571,1.26555,
80,8.81614,7.2138,0.006565,1.49137,
81,10.3395,8.84396,0.007895,1.35812,
82,9.77753,8.31245,0.00667,1.35129,
83,10.2985,8.7981,0.010001,1.27578,
84,8.53195,6.78773,0.006538,1.63395,
85,9.20567,7.72107,0.006728,1.36718,
86,12.3744,9.86092,0.006453,2.38793,
87,8.90992,7.44398,0.006338,1.34088,
88,9.78307,8.37553,0.006591,1.28784,
89,10.6585,9.20038,0.006955,1.33878,
90,9.82409,8.41949,0.006969,1.28213,
91,9.484,8.07009,0.00728,1.28577,
92,9.5124,8.10693,0.007217,1.28021,
93,9.20213,7.48853,0.006806,1.59007,
94,9.27797,7.65457,0.006529,1.49196,
95,16.4218,15.0481,0.007212,1.2463,
96,9.91468,8.44889,0.00711,1.34145,
97,10.1111,8.73675,0.006735,1.26327,
98,9.27955,7.7749,0.006621,1.37237,
99,8.90517,7.40133,0.00653,1.39421,
100,8.98953,7.58831,0.00675,1.27287,
