Sample Number for SPHINCS+-SHA2-256s-simple,Total Handshake Duration (ms),Hash Check Duration (ms),Data Check Duration (ms),Signature Check Duration (ms),
1,28.634,6.89822,20.5635,1.07113,
2,40.2999,7.15776,30.3198,2.70339,
3,33.5973,7.36382,25.1822,0.961444,
4,18.4177,6.98775,10.4253,0.907232,
5,9.73232,2.25358,6.53009,0.904216,
6,34.3877,7.35176,26.0407,0.933238,
7,33.0477,7.43683,23.4942,2.01869,
8,30.1492,6.69725,21.4161,1.94982,
9,38.5485,7.462,29.5633,1.44557,
10,39.7432,7.30948,29.9396,2.39415,
11,40.9568,7.31003,30.8342,2.70211,
12,35.1571,6.8684,25.1536,3.01384,
13,35.4386,7.32344,25.0582,2.95604,
14,37.1715,7.49322,28.6819,0.936288,
15,26.2202,6.9934,18.1906,0.97705,
16,41.8957,7.80583,31.789,2.1924,
17,36.7687,7.6136,25.2362,3.78624,
18,41.9238,7.65586,31.8392,2.32341,
19,49.7157,7.27607,40.2046,2.1545,
20,34.4319,7.96281,25.4044,0.982888,
21,22.087,7.43809,13.5668,1.0367,
22,28.4875,7.99272,19.5083,0.922842,
23,37.8551,7.46263,29.1193,1.19014,
24,33.5338,7.45187,25.1062,0.913195,
25,39.2842,7.3591,29.9775,1.85951,
26,33.6038,7.49008,25.067,0.951678,
27,37.0053,7.6796,28.2786,0.969724,
28,10.0707,2.5055,6.60287,0.870838,
29,38.7063,7.75896,29.04,1.81255,
30,40.9867,7.56344,31.3075,2.02228,
31,34.0763,7.84045,25.2499,0.8917,
32,37.2164,7.7992,28.4139,0.912359,
33,41.5806,7.85669,31.1438,2.46889,
34,32.2988,7.43916,23.8479,0.921455,
35,26.4816,7.82778,17.6881,0.875427,
36,40.8396,7.44528,30.9454,2.31714,
37,41.1239,7.81897,31.0125,2.19017,
38,36.3065,7.6597,25.694,2.81112,
39,36.2789,5.56887,29.0462,1.59135,
40,32.2951,7.31577,23.8463,1.06832,
41,31.3845,7.89317,22.3804,1.04983,
42,28.9031,7.42657,20.105,1.27499,
43,35.5614,7.248,25.3908,2.80058,
44,38.4505,7.81366,29.5454,1.01601,
45,11.1578,2.52148,7.66118,0.917694,
46,30.5382,7.46559,21.9243,1.08961,
47,32.5196,7.05079,23.4604,1.91073,
48,20.093,5.65037,13.3692,1.01483,
49,28.0642,7.60158,19.3171,1.08438,
50,40.4117,7.72702,30.4559,2.13029,
51,41.2283,7.41781,31.1809,2.50029,
52,20.9598,7.65365,12.2977,0.909011,
53,29.5589,8.36547,20.0067,1.05323,
54,41.5859,7.43226,31.2197,2.79537,
55,24.4658,6.29421,17.1512,0.964049,
56,36.0083,7.78102,27.1852,0.943345,
57,40.9051,7.65553,30.724,2.362,
58,42.1562,7.5096,31.7086,2.82508,
59,34.2397,7.12056,24.2404,2.71943,
60,37.7287,7.29184,29.3864,1.0013,
61,35.8469,7.32812,27.4879,0.937691,
62,34.5046,7.2197,24.8216,2.35892,
63,27.1274,7.76194,18.3928,0.924195,
64,29.1011,7.70717,20.3411,0.961151,
65,40.7873,7.52592,30.436,2.62336,
66,36.72,8.02069,27.0396,1.57822,
67,41.1779,7.72588,31.3765,1.96938,
68,13.728,4.14063,8.42722,1.08655,
69,18.2394,4.46733,12.7576,0.945616,
70,24.7713,7.08636,16.3921,1.23118,
71,36.082,7.5801,27.5426,0.899524,
72,17.0402,7.29418,8.76266,0.938455,
73,29.2185,7.41787,20.8196,0.92071,
74,23.0199,7.36389,14.6889,0.9174,
75,25.5079,7.77729,16.6992,0.963113,
76,35.5285,7.18024,25.2593,2.96618,
77,35.3562,7.38653,26.9739,0.945042,
78,43.2937,7.95083,32.8174,2.40135,
79,18.0512,7.82554,9.2674,0.899361,
80,41.6247,7.54855,31.4017,2.55477,
81,32.0394,7.00492,23.9996,0.955403,
82,29.3598,6.54373,21.8158,0.907135,
83,42.4292,7.99356,31.7471,2.56678,
84,35.1155,7.21405,24.9877,2.7841,
85,32.9441,7.72166,23.3241,1.80743,
86,15.8515,7.45864,7.40008,0.938739,
87,36.4464,8.81538,25.4274,2.09103,
88,35.8865,6.1092,28.037,1.63703,
89,29.8476,7.8229,20.949,0.999862,
90,35.2028,7.58041,24.9802,2.54221,
91,39.238,7.51247,29.6795,1.95542,
92,39.5693,7.81734,30.7117,0.979444,
93,39.9818,12.5179,26.2505,1.10417,
94,40.4459,8.07767,30.9573,1.30234,
95,24.9903,6.20067,16.4367,2.27339,
96,40.238,8.05737,30.1101,1.98105,
97,28.4663,7.54225,19.8044,1.06564,
98,37.2653,7.92754,28.2557,1.02334,
99,31.669,7.68895,22.9526,0.932244,
100,39.4055,7.37082,30.6749,1.24348,
