Sample Number for secp224r1,Total Handshake Duration (ms),Hash Check Duration (ms),Data Check Duration (ms),Signature Check Duration (ms),
1,2.76572,2.2997,0.001949,0.404694,
2,8.97023,7.37719,0.006676,1.46543,
3,7.51551,6.25376,0.006053,1.15571,
4,9.4443,7.70948,0.006804,1.619,
5,9.55433,7.64706,0.011022,1.74294,
6,10.1316,8.68578,0.006732,1.31399,
7,9.67938,8.12235,0.007178,1.43857,
8,9.76024,8.07606,0.006621,1.33085,
9,8.67855,7.26185,0.006565,1.30372,
10,2.71831,2.31388,0.001817,0.370018,
11,10.3957,8.98465,0.007268,1.29099,
12,8.6858,7.38521,0.006139,1.19464,
13,10.7946,8.28353,0.006647,2.3986,
14,10.7451,9.03122,0.006569,1.58274,
15,9.04576,7.67758,0.006631,1.25402,
16,9.16824,7.06452,0.006342,1.99209,
17,8.9622,7.41694,0.006625,1.43335,
18,9.26725,7.95901,0.006883,1.18716,
19,10.2759,8.01156,0.006766,2.13641,
20,8.75544,7.01422,0.006587,1.63122,
21,9.71413,7.91664,0.007405,1.67471,
22,8.32409,6.89207,0.00653,1.31671,
23,8.59159,7.19382,0.006848,1.27196,
24,9.38217,7.72697,0.006642,1.5434,
25,10.4275,8.94461,0.006842,1.36637,
26,7.57827,6.15501,0.005568,1.31537,
27,9.92071,8.31544,0.009968,1.46382,
28,8.47705,7.11455,0.00652,1.25374,
29,9.73289,8.18823,0.006612,1.43016,
30,9.64979,8.22804,0.007068,1.30249,
31,9.09761,7.54514,0.00639,1.36144,
32,9.25464,7.84769,0.006659,1.28433,
33,9.03744,7.58465,0.006534,1.34185,
34,11.2607,9.85266,0.008652,1.27723,
35,9.40999,8.04034,0.006719,1.25262,
36,2.79337,2.22488,0.00183,0.53539,
37,2.65666,2.24219,0.001858,0.379653,
38,3.07667,2.62518,0.002127,0.411191,
39,9.77474,8.34002,0.006725,1.3161,
40,9.27075,7.4737,0.007013,1.67944,
41,9.7441,8.26024,0.006971,1.36546,
42,8.54957,7.14817,0.006715,1.28142,
43,8.58145,7.26529,0.006751,1.1992,
44,9.62257,7.95366,0.006485,1.54533,
45,9.12772,7.70487,0.006409,1.30647,
46,8.42876,7.0415,0.006975,1.27103,
47,8.92474,7.28603,0.006315,1.52422,
48,9.66449,7.78808,0.006764,1.76322,
49,9.55626,7.99486,0.007448,1.4291,
50,9.14515,7.66529,0.007314,1.36066,
51,8.91873,7.37563,0.006667,1.42631,
52,9.36716,7.87039,0.006643,1.3762,
53,9.63872,7.70573,0.006618,1.82482,
54,9.09725,7.54727,0.006282,1.43718,
55,9.04734,7.65316,0.006798,1.27731,
56,9.0085,7.43896,0.006719,1.38478,
57,9.10079,7.65415,0.006578,1.33626,
58,9.34597,7.96828,0.006764,1.25958,
59,10.1774,8.60491,0.00683,1.44285,
60,9.11846,7.59241,0.006546,1.41674,
61,9.89618,8.27889,0.007409,1.49301,
62,3.84091,3.39525,0.002006,0.406238,
63,8.98015,7.30678,0.00658,1.55749,
64,9.70275,8.1475,0.00704,1.42571,
65,8.97137,7.57673,0.006316,1.28086,
66,9.64242,8.04323,0.007418,1.47934,
67,8.72535,7.23323,0.006328,1.31444,
68,9.82361,8.23485,0.007245,1.46511,
69,9.89615,8.39205,0.00737,1.37728,
70,9.91321,8.45471,0.011087,1.32429,
71,9.49813,7.76539,0.006576,1.42606,
72,7.96465,6.90457,0.004481,0.899177,
73,9.03065,7.59552,0.00665,1.31818,
74,2.58409,2.14289,0.001892,0.407704,
75,8.71589,7.36856,0.005963,1.24268,
76,9.11221,7.7333,0.006709,1.26268,
77,9.10938,7.28916,0.005953,1.71423,
78,9.53071,8.00567,0.006528,1.40676,
79,8.69245,7.33004,0.006641,1.251,
80,9.11018,7.59872,0.007428,1.38828,
81,9.10582,7.69248,0.006603,1.30198,
82,9.69044,7.31834,0.006353,2.26371,
83,7.15745,5.98674,0.005048,1.0771,
84,9.10865,7.53388,0.006575,1.46605,
85,9.06362,7.48675,0.006598,1.46103,
86,9.41354,7.97619,0.007201,1.30836,
87,8.80903,7.4647,0.006324,1.23496,
88,9.27465,7.80868,0.006482,1.3576,
89,8.70241,7.3136,0.006716,1.27824,
90,9.43435,7.72217,0.006422,1.59442,
91,8.92142,7.61774,0.006446,1.18129,
92,8.83133,7.30871,0.006756,1.41516,
93,9.05784,7.52625,0.007077,1.40842,
94,8.92709,7.54385,0.006394,1.27366,
95,2.87406,2.42525,0.001858,0.416265,
96,8.99759,7.61865,0.006422,1.26719,
97,9.45444,8.01426,0.006449,1.32687,
98,9.41231,8.03067,0.006679,1.26758,
99,9.53423,7.70082,0.006704,1.71534,
100,8.81008,7.42332,0.006933,1.27684,
