Sample Number for Dilithium2,Total Handshake Duration (ms),Hash Check Duration (ms),Data Check Duration (ms),Signature Check Duration (ms),
1,17.0477,8.135,2.96121,5.70921,
2,10.256,7.59625,2.22374,0.21676,
3,10.4589,7.42149,2.65586,0.182342,
4,11.2328,8.1757,2.64042,0.198569,
5,10.156,7.17377,2.60501,0.182602,
6,11.139,8.47234,2.13233,0.278486,
7,11.2328,8.29923,2.54813,0.178064,
8,10.4726,7.69158,2.35701,0.200863,
9,10.4063,7.53104,2.34553,0.208958,
10,9.71303,7.18835,2.1302,0.17576,
11,12.1404,8.05471,3.68292,0.189158,
12,9.59989,6.6923,2.53749,0.172265,
13,10.4382,7.30505,2.74664,0.178117,
14,10.552,7.86774,2.28619,0.196474,
15,11.4545,8.17532,2.87933,0.204547,
16,12.1276,8.07283,3.64127,0.215518,
17,18.0801,10.404,7.14233,0.315385,
18,8.28561,6.14189,1.77237,0.181302,
19,10.8096,7.68309,2.71373,0.186627,
20,9.61353,6.86242,2.37435,0.181024,
21,10.6186,7.71401,2.51056,0.19147,
22,9.88219,7.28924,2.19899,0.193022,
23,9.49582,7.03617,2.06318,0.197501,
24,10.2917,7.21701,2.67971,0.180534,
25,11.574,8.07404,3.03171,0.273743,
26,10.3914,7.38525,2.62049,0.190319,
27,10.4344,7.25151,2.80185,0.177447,
28,10.1524,7.00843,2.76082,0.18734,
29,10.2436,7.42253,2.38849,0.182741,
30,10.7853,7.62586,2.71405,0.230617,
31,9.65563,7.32681,1.97938,0.170727,
32,10.3639,7.26721,2.73535,0.166777,
33,10.8837,7.6354,2.72661,0.180889,
34,10.508,7.4978,2.62795,0.180396,
35,10.8185,7.56347,2.83679,0.217126,
36,10.6331,7.62811,2.45568,0.180206,
37,11.7754,8.65735,2.64124,0.212785,
38,10.0445,7.57253,2.08295,0.192716,
39,12.3452,9.30955,2.5584,0.208273,
40,8.77868,6.37337,2.04796,0.169378,
41,9.6648,7.1052,2.14424,0.199199,
42,3.06875,2.41078,0.527371,0.07147,
43,11.279,7.91411,2.79848,0.313124,
44,7.73412,5.62974,1.77942,0.162638,
45,10.9418,8.10628,2.46215,0.180635,
46,9.29668,6.9096,1.97783,0.185389,
47,10.1141,7.35004,2.36983,0.189887,
48,9.83672,7.31405,2.14716,0.172451,
49,10.4895,7.65321,2.42387,0.197708,
50,9.86638,7.6082,1.90531,0.166813,
51,9.5998,7.1526,2.07459,0.173396,
52,10.2123,7.14193,2.6518,0.184865,
53,12.0535,9.32755,2.21041,0.196653,
54,9.32274,6.77054,2.15785,0.195167,
55,11.3584,8.14862,2.78751,0.203821,
56,10.8925,7.75211,2.75332,0.18167,
57,9.87713,7.31555,2.18091,0.183156,
58,10.5891,7.9514,2.19947,0.184585,
59,11.4885,8.06993,2.94818,0.27408,
60,10.4663,7.41694,2.67836,0.18566,
61,11.2366,8.19087,2.64433,0.191936,
62,10.7442,7.60878,2.49152,0.251842,
63,9.60655,7.16397,2.08605,0.169517,
64,10.4512,7.37186,2.71554,0.174789,
65,10.7866,7.7014,2.68657,0.195974,
66,9.77926,7.12798,2.27837,0.187129,
67,10.6684,7.52679,2.7311,0.189271,
68,10.1806,7.67208,2.12542,0.173422,
69,11.1252,7.73575,2.6551,0.256153,
70,11.0563,7.69597,2.81781,0.179431,
71,11.3716,7.95442,2.9299,0.240502,
72,9.74213,6.81418,2.48362,0.269824,
73,9.96477,7.3868,2.11232,0.189145,
74,9.87448,7.3456,2.10635,0.226266,
75,10.6408,7.26162,2.73558,0.189272,
76,10.5501,7.61432,2.54646,0.181189,
77,10.372,7.80725,2.18362,0.185186,
78,9.45256,6.82881,2.23754,0.189573,
79,9.29269,7.53355,1.6173,0.076631,
80,7.01324,4.69554,1.75564,0.259925,
81,10.7765,7.86905,2.48377,0.227273,
82,3.63331,2.80633,0.699183,0.061476,
83,7.15194,5.06746,1.78206,0.14702,
84,6.82382,4.47379,2.04662,0.143076,
85,2.92247,2.26343,0.530905,0.05898,
86,12.3129,8.76223,3.11962,0.22132,
87,13.4279,9.76598,3.2454,0.193296,
88,6.57332,4.29817,1.93615,0.148025,
89,10.9926,8.0357,2.57453,0.174284,
90,10.9803,7.70447,2.74362,0.304394,
91,12.4115,8.53123,3.45963,0.191269,
92,11.6033,8.76367,2.39036,0.243951,
93,11.8006,8.19695,2.85826,0.303005,
94,10.3844,7.87774,2.14269,0.170053,
95,5.43243,4.81837,0.464419,0.06096,
96,10.9938,7.61298,2.72849,0.274433,
97,11.6954,8.33316,2.79588,0.317081,
98,12.1972,8.82194,2.71802,0.195105,
99,12.0199,8.53443,2.92593,0.246287,
100,12.4987,9.29566,2.64189,0.290408,
