Sample Number for SPHINCS+-SHA2-128f-simple,Total Handshake Duration (ms),Hash Check Duration (ms),Data Check Duration (ms),Signature Check Duration (ms),
1,32.6357,8.11324,18.7997,5.58591,
2,25.7152,8.05333,16.5032,1.08718,
3,31.4709,8.2441,19.6109,3.47949,
4,24.6054,7.04002,14.4646,2.99113,
5,26.8387,8.07596,14.9637,3.67556,
6,32.7976,7.66058,22.4016,2.63997,
7,30.1507,7.44294,18.8005,3.80212,
8,20.4879,7.00905,11.4421,1.95892,
9,26.9598,7.91583,15.4693,3.44442,
10,28.7918,7.42155,18.1966,3.06021,
11,28.5933,7.57035,17.6972,3.22375,
12,26.2759,7.75273,17.2483,1.16625,
13,28.5628,7.68456,17.7537,3.0398,
14,24.2445,7.14678,13.7339,3.23659,
15,29.1121,7.62546,17.6071,3.76762,
16,27.4786,7.43929,17.1257,2.79354,
17,18.0336,6.72862,7.89833,3.29862,
18,25.7804,7.7296,14.6478,3.28705,
19,25.2293,7.1234,14.7214,3.26692,
20,27.2002,8.04703,16.1672,2.86352,
21,29.3673,7.59709,18.7315,2.91897,
22,28.726,7.39347,17.8403,3.3783,
23,29.2084,7.43554,18.3219,3.33814,
24,29.5155,7.62295,18.3364,3.4462,
25,30.7543,7.69371,19.9773,2.87055,
26,21.8622,6.73699,12.8506,2.18623,
27,29.8757,7.19442,20.1458,2.42577,
28,32.2416,7.45756,22.4485,2.23629,
29,30.5582,7.60203,19.5591,3.25846,
30,23.9582,7.12076,13.7036,3.04433,
31,28.656,7.49253,17.7692,3.27115,
32,30.0173,8.03809,18.542,3.3237,
33,28.7908,7.26655,17.9309,3.48246,
34,28.8257,8.74875,17.1535,2.82569,
35,26.7578,7.18258,18.4313,1.05695,
36,29.0545,7.52138,18.3512,3.05794,
37,27.1216,8.78445,14.8107,3.40151,
38,25.9722,7.84216,16.695,1.38173,
39,29.1563,7.4813,18.501,3.04926,
40,26.3706,7.97672,17.2643,1.04787,
41,28.9327,7.93607,17.88,2.9963,
42,6.79527,2.46765,3.20882,1.06214,
43,24.1544,7.00773,13.6795,3.35509,
44,29.4048,7.79474,18.2618,3.23096,
45,24.4064,7.22898,14.315,2.72755,
46,24.4675,7.10914,14.0058,3.23956,
47,25.2944,7.03849,14.0661,4.07737,
48,28.7962,7.50507,17.6002,3.54957,
49,23.4552,7.09223,15.2468,1.05617,
50,13.8178,7.43417,5.26316,1.01777,
51,28.3517,7.60109,17.8471,2.79822,
52,28.1043,7.90044,17.6717,2.43668,
53,28.3237,7.24834,17.9057,3.05098,
54,23.656,7.5266,14.5601,1.51282,
55,28.4045,7.37556,18.1277,2.78963,
56,34.3514,14.418,17.2871,2.54298,
57,29.0235,7.61662,18.0719,3.22494,
58,29.0632,7.54272,18.4061,2.99672,
59,30.8549,7.96208,19.4127,3.29467,
60,29.7576,7.57644,18.2125,3.85539,
61,29.0899,7.57413,18.2072,3.12384,
62,25.848,8.12782,16.6153,1.04412,
63,24.2803,7.01869,14.0486,3.05801,
64,27.4816,7.6556,17.8571,1.81771,
65,29.281,7.60978,18.3548,3.12752,
66,31.1995,7.92416,19.6676,3.47663,
67,28.1315,7.30734,17.7212,2.99103,
68,29.0403,7.38102,18.2989,3.15971,
69,18.5342,7.87879,9.49138,1.10545,
70,25.8998,7.77703,14.7684,3.23429,
71,18.2732,7.5752,9.62381,0.984021,
72,25.0727,7.39044,14.3188,3.24943,
73,25.8553,7.08688,14.404,4.25159,
74,10.4751,3.12755,5.68086,1.51127,
75,7.34658,2.30743,3.95291,1.03525,
76,6.72137,2.37752,3.24258,1.01451,
77,7.02162,2.25304,3.70803,1.01193,
78,7.41487,2.50893,3.83292,1.0134,
79,30.2678,8.19253,18.5056,3.4452,
80,24.9223,7.78313,13.7525,3.27218,
81,11.5045,4.06003,5.72869,1.6337,
82,10.8793,3.41767,5.78312,1.59711,
83,10.038,3.15846,5.25333,1.53041,
84,9.59535,3.28027,4.63712,1.59208,
85,9.05614,3.07576,4.77132,1.14781,
86,11.2633,3.43816,6.03817,1.644,
87,8.44452,3.32768,3.99777,1.05894,
88,10.8839,3.3475,5.93431,1.51901,
89,10.2127,3.43398,4.24137,2.44343,
90,7.90386,2.43611,4.0965,1.31941,
91,7.25639,2.37724,3.75987,1.06722,
92,9.48215,3.30045,4.8554,1.23876,
93,10.9609,3.15373,6.36008,1.37376,
94,9.38789,2.97639,4.9235,1.40897,
95,7.92367,2.43577,4.15414,1.26639,
96,7.99328,2.29407,4.21409,1.42084,
97,8.5065,2.81232,4.07616,1.54435,
98,7.22978,2.19964,3.76762,1.20159,
99,10.3219,3.26804,5.32155,1.65115,
100,8.74433,3.28386,4.07723,1.32493,
