Sample Number for rsa1024,Total Handshake Duration (ms),Hash Check Duration (ms),Data Check Duration (ms),Signature Check Duration (ms),
1,10.1408,8.60359,0.005782,1.41946,
2,6.92717,5.72254,0.004446,1.12675,
3,8.99891,7.66815,0.00572,1.23203,
4,10.1828,8.30765,0.008724,1.74225,
5,14.0352,12.7242,0.005984,1.2102,
6,8.96129,7.66624,0.005989,1.19152,
7,8.76218,7.46892,0.005089,1.20315,
8,9.33644,7.75724,0.005909,1.45835,
9,2.73012,2.33872,0.00199,0.361708,
10,6.87407,5.94668,0.003904,0.855575,
11,9.2181,7.90798,0.008483,1.20864,
12,9.95652,8.48339,0.005636,1.36912,
13,8.88454,7.56921,0.005561,1.22189,
14,9.71751,8.40672,0.005853,1.21055,
15,9.26665,7.84623,0.00617,1.31185,
16,9.56538,8.09831,0.005592,1.21361,
17,9.76811,8.39594,0.005558,1.27502,
18,4.85094,4.30487,0.002073,0.50717,
19,9.69723,7.79032,0.005368,1.8118,
20,8.70646,7.39347,0.005938,1.21265,
21,8.84651,7.36784,0.005504,1.38447,
22,10.3737,9.06121,0.00567,1.20953,
23,11.2918,9.95549,0.005503,1.23321,
24,8.98783,7.57062,0.006128,1.30966,
25,8.76442,7.39716,0.005662,1.25208,
26,9.657,7.93063,0.004978,1.61416,
27,9.19947,7.78113,0.005284,1.32561,
28,8.96349,7.74053,0.005478,1.11298,
29,8.68508,7.39413,0.005527,1.19165,
30,8.40435,7.07848,0.005871,1.22454,
31,9.01025,7.55297,0.005709,1.35716,
32,9.33223,7.90449,0.005649,1.32367,
33,10.3367,8.25593,0.006498,1.97553,
34,8.65609,7.35338,0.005568,1.20007,
35,8.78374,7.17641,0.005607,1.51165,
36,9.93049,8.63144,0.005633,1.19719,
37,9.08855,7.77911,0.005847,1.2054,
38,9.35815,8.05837,0.005594,1.19991,
39,8.26359,6.83709,0.00583,1.31996,
40,9.77773,7.77267,0.005645,1.90154,
41,8.93977,7.5532,0.005846,1.23708,
42,2.79479,2.40383,0.001542,0.359987,
43,8.97694,7.65481,0.005526,1.22355,
44,8.91557,7.60092,0.005705,1.21798,
45,9.34425,7.59752,0.005343,1.64406,
46,8.69512,7.35621,0.005649,1.23733,
47,9.05356,7.66836,0.005401,1.20908,
48,9.90983,8.21225,0.008549,1.57074,
49,9.07309,7.69328,0.006404,1.27125,
50,9.87666,8.43771,0.005805,1.33323,
51,9.06418,7.42978,0.007017,1.52424,
52,9.3219,8.03744,0.005742,1.18187,
53,8.80568,7.50971,0.00561,1.197,
54,9.19954,7.75902,0.005519,1.34278,
55,8.92094,7.51103,0.005459,1.32406,
56,6.88869,6.44629,0.001583,0.411367,
57,8.51338,7.19876,0.005408,1.21378,
58,9.05991,7.43072,0.008588,1.50733,
59,8.25079,6.82076,0.007104,1.32731,
60,11.5543,10.1552,0.005631,1.29803,
61,9.0779,7.76925,0.005359,1.2161,
62,9.34566,7.98436,0.005402,1.26141,
63,8.97864,7.6372,0.005832,1.24104,
64,9.75657,8.30785,0.005859,1.35081,
65,9.68096,8.15264,0.005954,1.4259,
66,9.84643,8.36784,0.005794,1.37871,
67,9.7672,7.9204,0.008129,1.71737,
68,9.07326,7.77893,0.005844,1.19592,
69,9.45289,7.9708,0.005446,1.37558,
70,9.04266,7.66174,0.0055,1.27943,
71,9.23742,7.27612,0.009329,1.8448,
72,9.42721,7.86632,0.00573,1.45925,
73,8.63026,7.21003,0.005418,1.3243,
74,9.71726,8.04394,0.005633,1.57068,
75,5.69289,4.8954,0.00294,0.739447,
76,9.64263,8.33863,0.005516,1.20275,
77,9.43653,8.05637,0.032696,1.24769,
78,9.7778,8.36307,0.006184,1.30244,
79,8.9003,7.59331,0.005598,1.20788,
80,9.08859,7.77127,0.005842,1.21704,
81,8.57108,7.26082,0.006167,1.20634,
82,10.5129,9.18264,0.005838,1.21864,
83,8.31093,7.12703,0.004595,1.06443,
84,8.89989,7.32519,0.005396,1.48118,
85,9.34844,8.00102,0.005546,1.24115,
86,9.32404,7.89578,0.005548,1.32805,
87,9.30886,7.94177,0.005657,1.27225,
88,9.76908,8.36803,0.006225,1.29186,
89,8.92968,7.51595,0.006059,1.3042,
90,9.77651,7.94053,0.006413,1.72093,
91,7.13826,6.14428,0.003823,0.919996,
92,21.7942,20.3102,0.006255,1.3554,
93,10.1199,8.73791,0.005722,1.27271,
94,9.37215,7.6257,0.009577,1.6267,
95,9.24371,7.83049,0.006103,1.3075,
96,9.24416,7.56733,0.00621,1.57367,
97,10.5597,8.64726,0.010076,1.76121,
98,9.61263,8.19998,0.005887,1.3076,
99,8.78022,7.443,0.005197,1.24165,
100,9.52411,8.01471,0.013875,1.31093,
